time,exchange,symbol,ask_amount,ask_price,bid_price,bid_amount
2022-11-05T14:18:00.000000,ftx,SOL/USD,15.22,34.695,34.6925,4.55
2022-11-05T14:19:00.000000,ftx,SOL/USD,57.22,34.6925,34.69,10.0
2022-11-05T14:20:00.000000,ftx,SOL/USD,12.02,34.6825,34.68,23.67
2022-11-05T14:21:00.000000,ftx,SOL/USD,33.13,34.6525,34.65,63.99
2022-11-05T14:22:00.000000,ftx,SOL/USD,166.92,34.6225,34.62,1.62
2022-11-05T14:23:00.000000,ftx,SOL/USD,31.83,34.6175,34.615,10.0
2022-11-05T14:24:00.000000,ftx,SOL/USD,3.88,34.625,34.6225,65.0
2022-11-05T14:25:00.000000,ftx,SOL/USD,1.37,34.6375,34.635,70.8
2022-11-05T14:26:00.000000,ftx,SOL/USD,68.12,34.6875,34.685,72.92
2022-11-05T14:27:00.000000,ftx,SOL/USD,10.16,34.6775,34.675,189.08
2022-11-05T14:28:00.000000,ftx,SOL/USD,1.86,34.6975,34.695,1044.7
2022-11-05T14:29:00.000000,ftx,SOL/USD,1.91,34.69,34.6875,145.65
2022-11-05T14:30:00.000000,ftx,SOL/USD,1.03,34.6775,34.675,73.68
2022-11-05T14:31:00.000000,ftx,SOL/USD,10.0,34.655,34.6525,140.14
2022-11-05T14:32:00.000000,ftx,SOL/USD,4.76,34.6475,34.645,111.4
2022-11-05T14:33:00.000000,ftx,SOL/USD,78.05,34.6175,34.615,8.75
2022-11-05T14:34:00.000000,ftx,SOL/USD,7.38,34.625,34.6225,137.65
2022-11-05T14:35:00.000000,ftx,SOL/USD,1.55,34.635,34.6325,63.24
